Duke University	A community that shaped you	Community	Contribution	REFL
Washington and Lee University	A diverse aspect you would bring	Background & Identity	Contribution	FUTURE
Boston College	A fourth 'Be'	Other	Values;Contribution	REFL
Dartmouth College	A life of purpose	Other	Values;Contribution;Activities & Impact	IMPACT
Wake Forest University	A Maya Angelou quote	Other	Values;Contribution	REFL
Reed College	A Paideia class	Other	Course;Intellectual Curiosity;Contribution	FUTURE
Villanova University	Advancing equity and justice	Other	Contribution;Service	IMPACT
Trinity College	Background and the Trinity community	Background & Identity	Contribution	FUTURE
New York University	Bridge builders	Background & Identity	Disagreement;Contribution	REFL
Yale University	Choose One: a meaningful community	Community		REFL
Northwestern University	Community and belonging	Why Us	Community	SCHOOL
University of Massachusetts Amherst	Community and contribution	Community	Contribution	FUTURE
Pomona College	Community values and perspectives	Community	Values;Contribution	FUTURE
Haverford College	Community values and the Honor Code	Why Us	Values;Community	SCHOOL
Stanford University	Distinctive contribution	Background & Identity	Contribution	FUTURE
University of Notre Dame	Distinctive personal experiences	Background & Identity	Contribution	FUTURE
Northwestern University	Diverse perspectives	Background & Identity	Contribution	FUTURE
Johns Hopkins University	Engaging across differences and building bridges	Background & Identity	Disagreement;Contribution	GROWTH
Harvey Mudd College	Experiences, community, and problems to solve	Other	Community;Values;Contribution	MOTIV
University of Pennsylvania	Explore community at Penn	Why Us	Contribution;Background & Identity	SCHOOL
Dartmouth College	Finding common ground	Background & Identity	Disagreement	DESC
California Institute of Technology	Fun Question	Other	Contribution	FUTURE
Brown University	Growing up and contributing to Brown	Background & Identity	Contribution;Challenge & Growth	REFL
Washington and Lee University	Johnson Scholarship: education and social frameworks	Community	Values;Contribution	REFL
Rice University	Joining a community of change agents	Background & Identity	Contribution	MOTIV
Harvard University	Life experiences and contribution to Harvard	Background & Identity	Contribution	FUTURE
University of Richmond	Make a space more welcoming	Other	Contribution	IMPACT
Bowdoin College	Navigating through differences	Background & Identity	Disagreement	DESC
Amherst College	Option A: Disagreement and connection	Background & Identity	Disagreement	GROWTH
Amherst College	Option A: Unique experiences	Background & Identity	Contribution	FUTURE
Northwestern University	Personal context and Northwestern	Background & Identity	Why Us;Contribution	SCHOOL
UC_SYSTEMWIDE	PIQ 1: Leadership experience	Other	Leadership;Contribution	IMPACT
UC_SYSTEMWIDE	PIQ 7: Made your community a better place	Other	Contribution	IMPACT
Massachusetts Institute of Technology	Problems you want to tackle at MIT	Why Major	Why Us;Contribution	MOTIV
University of Texas at Austin	Proudest activity	Other	Activities & Impact	REFL
California Institute of Technology	Scholarly Character: Collaboration	Other	Collaboration;Intellectual Curiosity	GROWTH
Georgetown University	School-specific: McCourt School of Public Policy	Why Major	Why Us;Service	MOTIV
Georgetown University	School-specific: Walsh School of Foreign Service	Why Major	Why Us;Service	MOTIV
University of Notre Dame	Service to others	Other	Service;Contribution	IMPACT
Villanova University	Technology and the common good	Other	Values;Contribution	FUTURE
Duke University	Viewpoints and experiences	Background & Identity	Contribution	REFL
Brown University	Your approach to the Open Curriculum	Why Us	Why Major;Intellectual Curiosity;Values	SCHOOL
University of Richmond	Your unique mark on a Spider community	Background & Identity	Contribution	REFL
Princeton University	Your Voice: service and civic engagement	Other	Service;Contribution;Values	REFL
Texas A&M University	A life event that prepared you for college	Challenge & Growth		GROWTH
Pomona College	An experience outside the classroom	Other	Challenge & Growth;Disagreement	GROWTH
Massachusetts Institute of Technology	An unexpected challenge	Challenge & Growth		GROWTH
Harvey Mudd College	Asking for help	Challenge & Growth	Collaboration	GROWTH
Washington and Lee University	Johnson Scholarship: an unexpected path	Challenge & Growth		GROWTH
UC_SYSTEMWIDE	PIQ 4: Educational opportunity or barrier	Challenge & Growth	Academic Context	GROWTH
UC_SYSTEMWIDE	PIQ 5: Most significant challenge	Challenge & Growth		GROWTH
California Institute of Technology	Scholarly Character: Process	Challenge & Growth	Intellectual Curiosity	REFL
Yale University	Short Take: grow or develop	Other	Challenge & Growth;Values	GOAL
Texas A&M University	Your story	Challenge & Growth	Background & Identity	GROWTH
Davidson College	A curiosity that excites you	Why Major	Intellectual Curiosity	DESC
Massachusetts Institute of Technology	A topic you could talk about for hours	Other	Intellectual Curiosity	DESC
Dartmouth College	Celebrate your nerdy side	Other	Intellectual Curiosity	DESC
Wake Forest University	Five intriguing books	Reading List		DESC
Stanford University	Genuinely excited about learning	Why Major	Intellectual Curiosity	REFL
Dartmouth College	Insight from reading	Other	Intellectual Curiosity;Values	GROWTH
Wake Forest University	Intellectual curiosity	Why Major	Intellectual Curiosity	DESC
Haverford College	Intellectual curiosity at Haverford	Why Major	Intellectual Curiosity;Why Us	SCHOOL
Amherst College	Option A: Curiosity	Other	Intellectual Curiosity;Values	REFL
California Institute of Technology	Scientific Drive: Learning	Why Major	Intellectual Curiosity	DESC
California Institute of Technology	Scientific Drive: Pursuing	Why Major	Intellectual Curiosity;Activities & Impact	MOTIV
North Carolina State University	University Honors: curiosity in action	Other	Intellectual Curiosity;Activities & Impact	IMPACT
Dartmouth College	What excites you?	Other	Intellectual Curiosity	DESC
Washington and Lee University	Your curious mind	Why Major	Intellectual Curiosity	DESC
Massachusetts Institute of Technology	Just for fun	Short Answer		DESC
Stanford University	Last two summers	Short Answer		DESC
Texas A&M University	Life goals and objectives	Short Answer	Goals & Future	GOAL
