ID,School,External ref,Prompt title,Proposed primary,Secondary 1,Secondary 2,Secondary 3,Your primary override,Your secondary 1,Your secondary 2,Your secondary 3,Prompt function,Classifier confidence,Full written prompt,Word limit,Requirement,Scope
1,Amherst College,if-you-would-like-to-share-more-about-yourself-that-is,If you would like to share more about yourself that is not captured,,,,,,,,,,0,"If you would like to share more about yourself that is not captured elsewhere in your application, please tell us more here.",175w,optional,
2,Amherst College,please-briefly-elaborate-on-an-extracurricular-activity,Please briefly elaborate on an extracurricular activity or work,Activities & Impact,Personal Statement,,,,,,,,55,Please briefly elaborate on an extracurricular activity or work experience of particular significance to you.,175w,required,
3,Amherst College,if-you-have-engaged-in-significant-research-in-the,If you have engaged in significant research in the natural sciences,,Intellectual Curiosity,Course,,,,,,,0,"If you have engaged in significant research in the natural sciences, mathematics, computer science, social sciences or humanities that was undertaken independently of your high school curriculum, please provide a brief description of the research project.",75w,optional,
4,Amherst College,submit-a-graded-paper-from-your-junior-or-senior-year,Submit a graded paper from your junior or senior year that best,,Disagreement,Creativity,Course,,,,,,0,"Submit a graded paper from your junior or senior year that best represents your writing skills and analytical abilities. We are particularly interested in your ability to construct a tightly reasoned, persuasive argument that calls upon literary, sociological or historical evidence. You should not submit a laboratory report, journal entry, creative writing sample or in-class essay. Also, if you have submitted an analytical essay in response to the “essay topic of your choice” prompt in the Common Application or Apply Coalition with Scoir writing section, you should not select Option B.",The source states no word or character limit.,optional,amherst-supplement
5,Amherst College,if-you-are-were-an-applicant-to-amherst-s-access-to,If you are/were an applicant to Amherst’s Access to Amherst (A2A),,,,,,,,,,0,"If you are/were an applicant to Amherst’s Access to Amherst (A2A) program, you may use your A2A Writing Supplement essay in satisfaction of our supplementary essay requirement.",The source states no word or character limit.,optional,amherst-supplement
6,Arizona State University,what-is-a-question-you-find-yourself-returning-to,What is a question you find yourself returning to repeatedly,Challenge & Growth,,,,,,,,,50,"What is a question you find yourself returning to repeatedly? How does your pursuit of an answer, or even just the persistence of the question itself, suggest you are a strong fit for Barrett?",500w,optional,barrett-essay
7,Arizona State University,tell-us-about-a-time-when-something-did-not-go,Tell us about a time when something did not go according to plan,,,,,,,,,,0,Tell us about a time when something did not go according to plan. Focus less on the outcome and more on how the ways you responded in the moment suggest you are a strong fit for Barrett.,500w,optional,barrett-essay
8,Arizona State University,what-is-an-object-that-connects-you-to-your-family-or,"What is an object that connects you to your family or community, and",Community,Background & Identity,,,,,,,,40,"What is an object that connects you to your family or community, and how or why does it do this? How does this connection make you a strong fit for Barrett?",500w,optional,barrett-essay
9,Boston University,what-about-being-a-student-at-bu-most-excites-you,What about being a student at BU most excites you,,Intellectual Curiosity,,,,,,,,0,What about being a student at BU most excites you?,300w,required,
10,Boston University,what-about-the-kilachand-honors-college-resonates-with,"What about the Kilachand Honors College resonates with you, and how",,Intellectual Curiosity,Creativity,Course,,,,,,0,"What about the Kilachand Honors College resonates with you, and how would Kilachand’s curriculum fulfill your academic, creative, intellectual, and/or professional goals?",600w,optional,bu-kilachand
11,Boston University,if-you-could-create-a-new-kilachand-course-what-would,"If you could create a new Kilachand course, what would it be",,Values,Creativity,Course,,,,,,0,"If you could create a new Kilachand course, what would it be? How would your imagined course align with the core values of Kilachand?",600w,optional,bu-kilachand
12,Bowdoin College,how-did-you-first-learn-about-bowdoin,How did you first learn about Bowdoin,,,,,,,,,,0,How did you first learn about Bowdoin?,140c,required,
13,Brandeis University,what-excites-you-the-most-about-being-an-international,What excites you the most about being an international student at,,Intellectual Curiosity,,,,,,,,0,What excites you the most about being an international student at Brandeis University?,250w,conditional,International applicants
14,Brandeis University,the-myra-kraft-transitional-year-program-mktyp,The Myra Kraft Transitional Year Program (MKTYP) / Achievers Program is,,Contribution,Creativity,,,,,,,0,"The Myra Kraft Transitional Year Program (MKTYP) / Achievers Program is designed to guide you toward adjusting to the rigors and challenges of the college experience with a small cohort of peers. What strengths will you bring to the group, and in what areas will you benefit from the strengths of others?",250w,conditional,Myra Kraft Achievers Program (MKAP)
15,Princeton University,we-ask-all-students-to-submit-a-graded-written-paper,We ask all students to submit a graded written paper for consideration,,Intellectual Curiosity,Creativity,Course,,,,,,0,"We ask all students to submit a graded written paper for consideration as part of their application to Princeton. The paper should be from an academic course in English, social studies or history, from the last three years of secondary school, including senior year. You may send a paper, essay, research paper or in-class essay exam. Papers should be at least one page in length. Please include the entire paper as well as the prompt, the grade you received and any available comments. The paper should be originally written in English (no translations). We prefer expository, thesis-driven analytical writing rather than science research, creative writing, personal narratives or papers mostly focused on data analysis.",The source states no word or character limit.,required,
16,Yale University,complete-the-stem-research-supplement-form-to-describe,Complete the STEM Research Supplement form to describe your research,Community,Personal Statement,Intellectual Curiosity,Contribution,,,,,,33,Complete the STEM Research Supplement form to describe your research and your specific contributions if the work was done in collaboration with others.,Length: not publicly stated.,optional,
17,Yale University,submit-one-or-more-samples-of-your-work-as-an-arts,Submit one or more samples of your work as an arts portfolio and use,,Contribution,Creativity,,,,,,,0,Submit one or more samples of your work as an arts portfolio and use the arts supplement questionnaire to specify your contributions to making the film.,Length: not publicly stated.,optional,
18,Yale University,use-the-update-admissions-application-form-to-upload-a,Use the Update Admissions Application form to upload a document with a,,,,,,,,,,0,Use the Update Admissions Application form to upload a document with a brief description.,Length: brief description; no numeric limit stated.,optional,
19,"University of California, Berkeley",share-with-us-the-world-you-come-from-for-example-your,"Share with us the world you come from (for example, your family",Community,Background & Identity,Personal Statement,,,,,,,40,"Share with us the world you come from (for example, your family, school, community, city, or town). What unique experiences from your world motivated you to apply to this business and engineering dual degree program?",350w,conditional,"Management, Entrepreneurship, & Technology (M.E.T.)"
20,"University of California, Irvine",a-one-page-self-statement-about-who-you-are-as-a,A one-page self-statement about who you are as a developing artist and,,Creativity,,,,,,,,0,A one-page self-statement about who you are as a developing artist and what you hope to learn while at UCI.,Limit: 1 page.,optional,
