ID,School,External ref,Prompt title,Review status,Proposed primary,Proposed secondaries,Proposed function,Final primary,Final secondaries,Final function,Why,Word limit,Requirement,Shared with,Full written prompt
1,Amherst College,if-you-have-engaged-in-significant-research-in-the,If you have engaged in significant research in the natural sciences,reviewed,Activities & Impact,Intellectual Curiosity; Academic Context,describe,Activities & Impact,Intellectual Curiosity; Academic Context,describe,"Asks for a description of an independent research project - a sustained project, described.",75w,optional,,"If you have engaged in significant research in the natural sciences, mathematics, computer science, social sciences or humanities that was undertaken independently of your high school curriculum, please provide a brief description of the research project."
2,Amherst College,if-you-would-like-to-share-more-about-yourself-that-is,If you would like to share more about yourself that is not captured,reviewed,Personal Statement,,describe,Personal Statement,,describe,Literally open topic: anything about yourself not captured elsewhere. The rare genuine case.,175w,optional,,"If you would like to share more about yourself that is not captured elsewhere in your application, please tell us more here."
3,Amherst College,option-a-curiosity,Option A: Curiosity,reviewed,Other,Intellectual Curiosity; Values,reflect,Other,Intellectual Curiosity; Values,reflect,carried over from the hand review,350w,optional,,"“Hope and curiosity — these are qualities that are the foundation of what Amherst College means, of everything that we do here. Curiosity is at the core of a liberal arts education — a spirit of inquiry that shapes not only what our students do in the classroom, but also how they learn from and about each other.” — Michael A. Elliott, 20th President of Amherst College, address at Amherst College’s 203rd Commencement What does curiosity mean to you? How do you experience curiosity in your own life?"
4,Amherst College,option-a-differing-viewpoint,Option A: Disagreement and connection,reviewed,Background & Identity,Disagreement,demonstrate-growth,Background & Identity,Disagreement,demonstrate-growth,carried over from the hand review,350w,optional,,"“We are working together to build a community that makes room for both true disagreement and true connection, one that practices the kind of recognition and robust negotiation that the everyday life of democracy requires, and one that explicitly prepares our students to work for the greater good in their professional and personal endeavors.” — Presidential Priorities: Serving the Greater Good Tell us about a time that you engaged with a viewpoint different from your own. How did you enter that engagement, and what did you learn about yourself from it?"
5,Amherst College,option-a-unique-experiences,Option A: Unique experiences,reviewed,Background & Identity,Contribution,discuss-future-contribution,Background & Identity,Contribution,discuss-future-contribution,carried over from the hand review,350w,optional,,"“We seek an Amherst made stronger because it includes those whose experiences can enhance our understanding of our nation and our world. We do so in the faith that our humanity is an identity forged from diversity, and that our different perspectives enrich our inquiry, deepen our knowledge, strengthen our community, and prepare students to engage with an ever-changing world.” — from the Trustee Statement on Diversity and Community In what ways could your unique experiences enhance our understanding of our nation and our world?"
6,Amherst College,please-briefly-elaborate-on-an-extracurricular-activity,Please briefly elaborate on an extracurricular activity or work,reviewed,Activities & Impact,Values,reflect,Activities & Impact,Values,reflect,"An extracurricular or work experience of particular significance - the activity family, asked for significance.",175w,required,,Please briefly elaborate on an extracurricular activity or work experience of particular significance to you.
7,Arizona State University,tell-us-about-a-time-when-something-did-not-go,Tell us about a time when something did not go according to plan,reviewed,Challenge & Growth,Why Us,demonstrate-growth,Challenge & Growth,Why Us,demonstrate-growth,"Something that did not go to plan and how you responded, tied to Barrett fit.",300-500w,conditional,,Tell us about a time when something did not go according to plan. Focus less on the outcome and more on how the ways you responded in the moment suggest you are a strong fit for Barrett.
8,Arizona State University,what-is-a-question-you-find-yourself-returning-to,What is a question you find yourself returning to repeatedly,reviewed,Other,Why Us; Intellectual Curiosity,reflect,Other,Intellectual Curiosity; Why Us,reflect,A question you return to; bespoke intellectual framing tied to honours-college fit.,300-500w,conditional,,"What is a question you find yourself returning to repeatedly? How does your pursuit of an answer, or even just the persistence of the question itself, suggest you are a strong fit for Barrett?"
9,Arizona State University,what-is-an-object-that-connects-you-to-your-family-or,"What is an object that connects you to your family or community, and",reviewed,Background & Identity,Community; Why Us,reflect,Background & Identity,Community; Why Us,reflect,"An object connecting you to family or community, and why - identity through an object.",300-500w,conditional,,"What is an object that connects you to your family or community, and how or why does it do this? How does this connection make you a strong fit for Barrett?"
10,Boston College,choice-conversation-partner,A meaningful conversation partner,reviewed,Other,Values; Intellectual Curiosity,describe,Other,Values; Intellectual Curiosity,describe,carried over from the hand review,400w,optional,,"The late BC theology professor, Father Michael Himes, argued that a university is not a place to which you go, but instead, a “rigorous and sustained conversation about the great questions of human existence, among the widest possible circle of the best possible conversation partners.” Who has been your most meaningful conversation partner, and what profound questions have you considered together?"
11,Boston College,choice-fourth-be,A fourth 'Be',reviewed,Other,Values; Contribution,reflect,Other,Values; Contribution,reflect,carried over from the hand review,400w,optional,,"Boston College’s Jesuit mission highlights “the three Be’s”: be attentive, be reflective, be loving – core to Jesuit education (see A Pocket Guide to Jesuit Education). If you could add a fourth “Be,” what would it be and why? How would this new value support your personal development and enrich the BC community?"
12,Boston College,choice-single-story,The danger of a single story,reviewed,Background & Identity,Challenge & Growth,demonstrate-growth,Background & Identity,Challenge & Growth,demonstrate-growth,carried over from the hand review,400w,optional,,"In her July 2009 Ted Talk, “The Danger of a Single Story,” Chimamanda Ngozi Adichie warned viewers against assigning people a “single story” through assumptions about their nationality, appearance, or background. Discuss a time when someone defined you by a single story. What challenges did this present and how did you overcome them?"
13,Boston College,choice-tradition,A meaningful tradition,reviewed,Community,Values,reflect,Community,Values,reflect,carried over from the hand review,400w,optional,,"Strong communities are sustained by traditions. Boston College’s annual calendar is marked with both long-standing and newer traditions that help shape our community. Tell us about a meaningful tradition in your family or community. Why is it important to you, and how does it bring people together or strengthen the bonds of those who participate?"
14,Boston College,hce-common-good,Human-Centered Engineering and the Common Good,reviewed,Why Major,Why Us; Contribution,connect-to-school,Why Major,Why Us; Contribution,connect-to-school,carried over from the hand review,400w,conditional,,"One goal of a Jesuit education is to prepare students to serve the Common Good. Human-Centered Engineering at Boston College integrates technical knowledge, creativity, and a humanistic perspective to address societal challenges and opportunities. What societal problems are important to you and how will you use your HCE education to solve them?"
15,Boston University,if-you-could-create-a-new-kilachand-course-what-would,"If you could create a new Kilachand course, what would it be",reviewed,Why Us,Course; Creativity; Values,connect-to-school,Why Us,Course; Creativity; Values,connect-to-school,Invent a Kilachand course aligned to Kilachand's values: institution-specific by construction.,600w,conditional,,"If you could create a new Kilachand course, what would it be? How would your imagined course align with the core values of Kilachand?"
16,Boston University,what-about-being-a-student-at-bu-most-excites-you,What about being a student at BU most excites you,reviewed,Why Us,Intellectual Curiosity,connect-to-school,Why Us,Intellectual Curiosity,connect-to-school,What excites you about being a BU student.,300w,required,,What about being a student at BU most excites you?
17,Boston University,what-about-the-kilachand-honors-college-resonates-with,"What about the Kilachand Honors College resonates with you, and how",reviewed,Why Us,Why Major; Course; Goals & Future,connect-to-school,Why Us,Why Major; Course; Goals & Future,connect-to-school,What resonates about Kilachand and how its curriculum meets your goals.,600w,conditional,,"What about the Kilachand Honors College resonates with you, and how would Kilachand’s curriculum fulfill your academic, creative, intellectual, and/or professional goals?"
18,Bowdoin College,how-did-you-first-learn-about-bowdoin,How did you first learn about Bowdoin,reviewed,Short Answer,Why Us,describe,Short Answer,Why Us,describe,A one-line factual question about how you heard of Bowdoin.,none,required,,How did you first learn about Bowdoin?
19,Bowdoin College,navigating-through-differences,Navigating through differences,reviewed,Background & Identity,Disagreement,describe,Background & Identity,Disagreement,describe,carried over from the hand review,250w,optional,,"Bowdoin believes that its broadly diverse and inclusive campus community prepares graduates to be contributing and useful citizens of the world. Every graduate of this institution should be confident in their preparation to be able to navigate through differences and in all sorts of situations. A Bowdoin education does not guarantee these skills, but it does impart a set of tools necessary to bravely enter unfamiliar conditions with the confidence to deal effectively with ambiguity. If you wish, you may share anything about the unique experiences and perspectives that you would bring with you to the Bowdoin campus and community or an experience you have had that required you to navigate across or through difference."
20,Bowdoin College,offer-of-the-college,The Offer of the College,reviewed,Other,Values,reflect,Other,Values,reflect,carried over from the hand review,250w,optional,,"Generations of students have found connection and meaning in Bowdoin’s “The Offer of the College,” written in 1906 by Bowdoin President William DeWitt Hyde. To be at home in all lands and all ages; to count Nature a familiar acquaintance, and Art an intimate friend; to gain a standard for the appreciation of others’ work and the criticism of your own; to carry the keys of the world’s library in your pocket, and feel its resources behind you in whatever task you undertake; to make hosts of friends...who are to be leaders in all walks of life; to lose yourself in generous enthusiasms and cooperate with others for common ends— This is the offer of the college for the best four years of your life. Which line from The Offer resonates most with you? The Offer represents Bowdoin’s values. Please reflect on the line you selected and how it has meaning to you."
21,Brandeis University,the-myra-kraft-transitional-year-program-mktyp,The Myra Kraft Transitional Year Program (MKTYP) / Achievers Program is,reviewed,Community,Contribution; Collaboration,discuss-future-contribution,Community,Contribution; Collaboration,discuss-future-contribution,Strengths you bring to a cohort and what you gain from others - future contribution to a group.,250w,conditional,,"The Myra Kraft Transitional Year Program (MKTYP) / Achievers Program is designed to guide you toward adjusting to the rigors and challenges of the college experience with a small cohort of peers. What strengths will you bring to the group, and in what areas will you benefit from the strengths of others?"
22,Brandeis University,what-excites-you-the-most-about-being-an-international,What excites you the most about being an international student at,reviewed,Why Us,Background & Identity,connect-to-school,Why Us,Background & Identity,connect-to-school,What excites you about being an international student specifically at Brandeis.,250w,conditional,,What excites you the most about being an international student at Brandeis University?
23,Brown University,brown-risd-dual-degree,Brown | RISD Dual Degree,reviewed,Why Us,Why Major; Contribution; Creativity,connect-to-school,Why Us,Why Major; Contribution; Creativity,connect-to-school,carried over from the hand review,650w,conditional,,"The Brown | RISD Dual Degree Program draws on the complementary strengths of Brown University and Rhode Island School of Design (RISD) to provide students with the opportunity to explore and engage with diverse spheres of academic and creative inquiry. Considering your understanding of the academic programs at Brown and RISD, describe how and why the specific blend of RISD’s experimental, immersive art and design program and Brown’s wide-ranging courses and curricula could constitute an optimal undergraduate education for you. Reflect on how you might integrate or synthesize content, approaches, and methods from these two distinct learning experiences. Additionally, how might you contribute to the Dual Degree community and its commitment to interdisciplinary work?"
24,Brown University,core-growing-up,Growing up and contributing to Brown,reviewed,Background & Identity,Challenge & Growth; Contribution,reflect,Background & Identity,Challenge & Growth; Contribution,reflect,carried over from the hand review,150-250w,required,,"Students entering Brown often find that making their home on College Hill naturally invites reflection on where they came from. Share how an aspect of your growing up has inspired or challenged you, and what unique contributions this might allow you to make to the Brown community."
25,Brown University,core-joy,What brings you joy,reviewed,Short Answer,Values,describe,Short Answer,Values,describe,carried over from the hand review,100-150w,required,,"Brown students care deeply about their work and the world around them. Students find contentment, satisfaction, and meaning in daily interactions and major discoveries. Whether big or small, mundane or spectacular, tell us about something that brings you joy."
26,Brown University,core-open-curriculum,Your approach to the Open Curriculum,reviewed,Why Us,Why Major; Intellectual Curiosity; Values,connect-to-school,Why Us,Why Major; Intellectual Curiosity; Values,connect-to-school,carried over from the hand review,150-250w,required,,"“There is something distinctive about Brown students. It is a blend of intellectual curiosity, creativity, and humility. A commitment to collaboration. An openness to new ideas and perspectives. A desire to make the world better. And it is resilience: the ability to recover and thrive after experiencing difficulties.” From President Christina Paxson’s 2025 Convocation Address. How will you use these characteristics or others to shape your approach to the Open Curriculum?"
27,Brown University,core-teach-a-class,Teach a class,reviewed,Other,Course; Intellectual Curiosity,describe,Other,Course; Intellectual Curiosity,describe,carried over from the hand review,100-150w,required,,"If you could teach a class on any one thing, whether academic or otherwise, what would it be?"
28,Brown University,plme-great-doctor,PLME: What will make you a great doctor?,reviewed,Other,Values; Goals & Future,reflect,Other,Values; Goals & Future,reflect,carried over from the hand review,250w,conditional,,"Tell us something about yourself, beyond your interest in medicine, that you think will make you a great doctor."
29,Brown University,plme-why-medicine,PLME: Why medicine?,reviewed,Why Major,,explain-motivation,Why Major,,explain-motivation,carried over from the hand review,250w,conditional,,Why medicine?
30,Brown University,plme-why-plme,PLME: Why PLME?,reviewed,Why Us,,connect-to-school,Why Us,,connect-to-school,carried over from the hand review,250w,conditional,,Why PLME?
31,Bucknell University,please-explain-your-interest-in-your-first-choice-major,Please explain your interest in your first-choice major/undecided,reviewed,Why Major,Why Us,explain-motivation,Why Major,Why Us,explain-motivation,"Interest in a first and second choice major, and why Bucknell for it.",250w,required,,Please explain your interest in your first-choice major/undecided status and your second-choice major (should you opt to list one) and why you would choose Bucknell University to pursue your interest(s).
32,California Institute of Technology,academic-interest,Required STEM Academic Interest,reviewed,Why Major,Intellectual Curiosity,explain-motivation,Why Major,Intellectual Curiosity,explain-motivation,carried over from the hand review,150-200w,required,,"Why did you choose your proposed area of interest? If you selected ‘other’, what topics are you interested in pursuing?"
33,California Institute of Technology,fun-contribution,Fun Question,reviewed,Other,Contribution,discuss-future-contribution,Other,Contribution,discuss-future-contribution,carried over from the hand review,100-150w,required,,"Caltech students bring more than academic ability to the communities they join. What is something you would be excited to do, share, teach, make, start, or contribute as part of the Caltech community?"
34,California Institute of Technology,optional-academic-context,Optional Academic Context,reviewed,Other,Academic Context,describe,Other,Academic Context,describe,carried over from the hand review,(note) The source states no word or character limit.,optional,,"Caltech cares about context. Is there anything about your academic preparation, coursework, school context, or learning experiences that would help us better understand your readiness for Caltech?"
35,California Institute of Technology,scholarly-character-collaboration,Scholarly Character: Collaboration,reviewed,Other,Collaboration; Intellectual Curiosity,demonstrate-growth,Other,Collaboration; Intellectual Curiosity,demonstrate-growth,carried over from the hand review,200w,optional,,"Tell us about a time your learning in STEM was shaped by another person or group — either because you needed help, offered help, changed your thinking through collaboration, or contributed to someone else’s understanding. What did that experience teach you about learning and working with others?"
36,California Institute of Technology,scholarly-character-process,Scholarly Character: Process,reviewed,Challenge & Growth,Intellectual Curiosity,reflect,Challenge & Growth,Intellectual Curiosity,reflect,carried over from the hand review,200w,optional,,"Tell us about a time your approach to a STEM problem, concept, or project mattered as much as the outcome. How did you work through uncertainty or persist creatively in tackling the problem? What would you still defend about your process, regardless of the outcome?"
37,California Institute of Technology,scientific-drive-learning,Scientific Drive: Learning,reviewed,Why Major,Intellectual Curiosity,describe,Why Major,Intellectual Curiosity,describe,carried over from the hand review,200w,optional,,"Regardless of your STEM interest listed above, take this opportunity to nerd out and talk to us about whatever STEM rabbit hole you have found yourself falling into. Be as specific or broad as you would like."
38,California Institute of Technology,scientific-drive-making,Scientific Drive: Making,reviewed,Activities & Impact,Creativity; Intellectual Curiosity,describe,Activities & Impact,Creativity; Intellectual Curiosity,describe,"AUDIT: something you created, repaired, coded or built, and what the process revealed. Was Other, while Cornell's and Tufts' near-identical make-something prompts are Activities & Impact.",200w,optional,,"Tell us about something you created, tested, repaired, modeled, coded, built, or redesigned. What problem were you trying to solve and what did the process reveal to you?"
39,California Institute of Technology,scientific-drive-pursuing,Scientific Drive: Pursuing,reviewed,Why Major,Activities & Impact; Intellectual Curiosity,explain-motivation,Why Major,Activities & Impact; Intellectual Curiosity,explain-motivation,carried over from the hand review,200w,optional,,"Tell us about a STEM question, problem, idea, or project that has held your attention over time. What drew you to it, how have you pursued it, and what do you still want to understand?"
40,Carleton College,anything-missing,Anything missing,reviewed,Personal Statement,,describe,Personal Statement,,describe,"The additional-information box: fill any gaps, any topic.",(note) The source states no word or character limit.,optional,,"Anything missing? Do you want to share more with us? If so, use this space to fill any gaps you think would assist us in reviewing your application."
41,Carleton College,think-about-someone-you-connect-with-who-s-different,Think about someone you connect with who’s different from you,reviewed,Background & Identity,Values,reflect,Background & Identity,Values,reflect,Someone different from you and what is meaningful in those interactions - engaging across difference.,300w,required,,Think about someone you connect with who’s different from you. What do you find most meaningful about your interactions with them?
42,Carnegie Mellon University,short-answer-emphasize,What you want to emphasize,reviewed,Other,,reflect,Other,,reflect,carried over from the hand review,300w,required,,"Consider your application as a whole. What do you personally want to emphasize about your application for the admission committee’s consideration? Highlight something that’s important to you or something you haven’t had a chance to share. Tell us, don’t show us (no websites please)."
43,Carnegie Mellon University,short-answer-major-inspiration,Passion behind your intended area of study,reviewed,Why Major,Intellectual Curiosity,explain-motivation,Why Major,Intellectual Curiosity,explain-motivation,carried over from the hand review,300w,required,,Most students choose their intended major or area of study based on a passion or inspiration that’s developed over time — what passion or inspiration led you to choose this area of study?
44,Carnegie Mellon University,short-answer-successful-college-experience,A successful college experience,reviewed,Other,Values; Goals & Future,state-a-future-goal,Other,Values; Goals & Future,state-a-future-goal,carried over from the hand review,300w,required,,"Many students pursue college for a specific degree, career opportunity or personal goal. Whichever it may be, learning will be critical to achieve your ultimate goal. As you think ahead to the process of learning during your college years, how will you define a successful college experience?"
45,Case Western Reserve University,by-applying-to-the-pre-professional-scholars-program,"By applying to the Pre-Professional Scholars Program, you are applying",reviewed,Why Major,Why Us; Goals & Future,explain-motivation,Why Major,Goals & Future; Why Us,explain-motivation,"Why this profession, how you are suited, and what led you there.",250-500w,conditional,,"By applying to the Pre-Professional Scholars Program, you are applying to gain admission to professional school earlier than students who apply in the traditional way. Please indicate why you’re interested in your chosen profession. How do you see yourself being particularly suited to this field? What events and/or experiences have led you to your choice?"
46,Case Western Reserve University,in-the-college-application-process-you-are-constantly,"In the college application process, you are constantly prompted for a",reviewed,Other,Activities & Impact; Values,describe,Other,Activities & Impact; Values,describe,Something you are proud of that appears nowhere else - deliberately not an activity listing.,750w,conditional,,"In the college application process, you are constantly prompted for a list of your achievements, awards, and accomplishments. While this information is useful to us, we are interested in hearing more about you. Describe an event, achievement, or experience of which you are particularly proud but that will not show up on a resume, may not garner any recognition, and does not appear anywhere else on your admission application."
