ID,School,Prompt title,Proposed primary,Secondary 1,Secondary 2,Secondary 3,Your primary override,Your secondary 1,Your secondary 2,Your secondary 3,Review status,Your notes,Final primary,Final secondary 1,Final secondary 2,Final secondary 3,Why I categorized it this way,Full written prompt,Word limit,Original category,Existing note,Reuse group,Campus count / duplicates,Changed from original?
1,Duke University,A community that shaped you,Community,Contribution,,,,,,,,,Community,Contribution,,,"Centers a community, home environment, or tradition that shaped you—not merely what you will add to a future campus. Secondary overlap: Contribution.","We all belong to communities defined by place, faith, family, culture, interests or shared experience. Tell us about a community that has shaped who you are, any way it has set you apart, and what you’ve learned from being part of it that you hope to bring to Duke.",250w,Community & Contribution,,RG-001,1,Yes
2,Washington and Lee University,A diverse aspect you would bring,Background & Identity,Contribution,,,,,,,,,Background & Identity,Contribution,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Contribution.","W&L’s mission statement focuses on preparing graduates for lifelong learning in a global and diverse society. Engaging with faculty, staff, and classmates with diverse identities, experiences, and perspectives is an essential component of our education. Recognizing that diversity takes many forms, what diverse aspect would you bring to W&L?",250w,Community & Contribution,Background/Identity or Community/Contribution based on essay,RG-002,1,Yes
3,Boston College,A fourth 'Be',Other,Values,Contribution,,,,,,,,Other,Values,Contribution,,"Inventing a fourth “Be” is a bespoke values exercise, not a home-community or general contribution prompt. Secondary overlap: Values, Contribution.","Boston College’s Jesuit mission highlights ""the three Be’s"": be attentive, be reflective, be loving – core to Jesuit education. If you could add a fourth ""Be,"" what would it be and why? How would this new value support your personal development and enrich the BC community?",400w,Community & Contribution,Other with a secondary tag of values/meaning,RG-003,1,Yes
4,Dartmouth College,A life of purpose,Other,Values,Contribution,Activities & Impact,,,,,,,Other,Values,Contribution,Activities & Impact,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Values, Contribution, Activities & Impact.","Labor leader and civil rights activist Dolores Huerta recommended a life of purpose. ""We must use our lives to make the world a better place to live, not just to acquire things,"" she said. ""That is what we are put on the earth for."" In what ways do you hope to make—or are you already making—an impact? Why? How?",250w,Community & Contribution,,RG-004,1,Yes
5,Wake Forest University,A Maya Angelou quote,Other,Values,Contribution,,,,,,,,Other,Values,Contribution,,"The Maya Angelou framing requires a chosen quotation and a particular reflection, so it is too bespoke for a broad primary category. Secondary overlap: Values, Contribution.","Dr. Maya Angelou, renowned author, poet, civil-rights activist, and former Wake Forest University Reynolds Professor of American Studies, inspired others to celebrate their identities and to honor each person’s dignity. Choose one of Dr. Angelou’s powerful quotes. How does this quote relate to your lived experience or reflect how you plan to contribute to the Wake Forest community?",300w,Community & Contribution,Other,RG-005,1,Yes
6,Reed College,A Paideia class,Other,Course,Intellectual Curiosity,Contribution,,,,,,,Other,Course,Intellectual Curiosity,Contribution,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Course, Intellectual Curiosity, Contribution.","For one week at the end of January, Reed students upend the traditional classroom hierarchy and teach classes about any topic they love, academic or otherwise. This week is known as Paideia, after the Greek term signifying “education”—the complete education of mind, body, and spirit. What would you teach that would contribute to the Reed community?",500w,Community & Contribution,Other with secondary tag of Course,RG-006,1,Yes
7,Villanova University,Advancing equity and justice,Other,Contribution,Service,,,,,,,,Other,Contribution,Service,,"Has a specific angle that does not cleanly fit the core reusable categories; the secondary tags preserve its useful overlap. Secondary overlap: Contribution, Service.","As Pope Leo XIV (Villanova Class of 1977) has said, “no one can single-handedly bear the weight of the challenges the world is facing, just as no one is so weak that they cannot play their part.” What have you done to play your part in advancing equity and justice in your community?",no limit,Community & Contribution,,RG-007,1,Yes
8,Trinity College,Background and the Trinity community,Background & Identity,Contribution,,,,,,,,,Background & Identity,Contribution,,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Contribution.","The identities you claim, the challenges you face, and the successes you enjoy shape the background for your college experience to come. What is an aspect of your background that you are excited to share and/or explore as a member of the Trinity community and why?",299w,Community & Contribution,Background/Identity or Community/Contribution based on essay,RG-008,1,Yes
9,New York University,Bridge builders,Background & Identity,Disagreement,Contribution,,,,,,,,Background & Identity,Disagreement,Contribution,,"Centers identity or lived experience and how it shapes perspective, especially engagement across difference. Secondary overlap: Disagreement, Contribution.","We are looking for students who want to be bridge builders—students who can connect people, groups, and ideas to span divides, foster understanding, and promote collaboration within a dynamic, interconnected, and vibrant global academic community. We are eager for you to tell us how your experiences have helped you understand what qualities and efforts are needed to bridge divides so that people can better learn and work together. Please consider one or more of these approaches: a time you encountered a different perspective and what you learned; an experience working with people who held different perspectives and the role you played; or someone you observed who helps people think or work together and the qualities you admire.",250w,Community & Contribution,Background/Identity or Community/Contribution based on essay or Disagreement,RG-009,1,Yes
10,Yale University,Choose One: a meaningful community,Community,,,,,,,,,,Community,,,,"Centers a community, home environment, or tradition that shaped you—not merely what you will add to a future campus.",Reflect on your membership in a community to which you feel connected. Why is this community meaningful to you? You may define community however you like.,400w,Community & Contribution,,RG-010,1,Yes
11,Northwestern University,Community and belonging,Why Us,Community,,,,,,,,,Why Us,Community,,,"Primarily asks why this college, program, community, or set of opportunities fits you. Secondary overlap: Community.","Community and belonging matter at Northwestern. Tell us about one or more communities, networks, or student groups you see yourself connecting with on campus.",199w,Community & Contribution,,RG-011,1,Yes
12,University of Massachusetts Amherst,Community and contribution,Community,Contribution,,,,,,,,,Community,Contribution,,,"Centers a community, home environment, or tradition that shaped you—not merely what you will add to a future campus. Secondary overlap: Contribution.","At UMass Amherst, no two students are alike. Our communities and groups often define us and shape our individual worlds. Community can refer to various aspects, including shared geography, religion, race/ethnicity, income, ideology, and more. Please choose one of your communities or groups and describe its significance. Explain how, as a product of this community or group, you would enrich our campus.",100w,Community & Contribution,,RG-012,1,Yes
13,Pomona College,Community values and perspectives,Community,Values,Contribution,,,,,,,,Community,Values,Contribution,,"Centers a community, home environment, or tradition that shaped you—not merely what you will add to a future campus. Secondary overlap: Values, Contribution.","Reflecting on a community that you are a part of, what values or perspectives from that community would you bring to Pomona?",250w,Community & Contribution,,RG-013,1,Yes
14,Haverford College,Community values and the Honor Code,Why Us,Values,Community,,,,,,,,Why Us,Values,Community,,"Primarily asks why this college, program, community, or set of opportunities fits you. Secondary overlap: Values, Community.","We have highlighted for you some of the values that shape the Haverford community. What are some of the values you seek in your next community? How do Haverford’s values, as demonstrated through our Honor Code, resonate with you? As you think about how to answer this question, you might draw from how you have been influenced by other communities you have been a part of, experiences you may have had within your communities, or opportunities you have had to shape or even change your communities.",200w,Community & Contribution,,RG-014,1,Yes
