"ID","School","Prompt title","Review primary","Review secondaries","Prompt function","Stored primary slug","Stored secondary families","Stored secondary tags","Current display name","Word limit","External ref"
"1","Amherst College","Option A: Curiosity","Other","Intellectual Curiosity; Values","reflect","other","","intellectual curiosity; values & meaning","Other","350w","option-a-curiosity"
"2","Amherst College","Option A: Unique experiences","Background & Identity","Contribution","discuss future contribution","diversity","","contribution","Identity & Background","350w","option-a-unique-experiences"
"3","Amherst College","Option A: Disagreement and connection","Background & Identity","Disagreement","demonstrate growth","diversity","","disagreement","Identity & Background","350w","option-a-differing-viewpoint"
"4","Boston College","A meaningful tradition","Community","Values","reflect","community","","values & meaning","Community","400w","choice-tradition"
"5","Boston College","A meaningful conversation partner","Other","Values; Intellectual Curiosity","describe","other","","values & meaning; intellectual curiosity","Other","400w","choice-conversation-partner"
"6","Boston College","The danger of a single story","Background & Identity","Challenge & Growth","demonstrate growth","diversity","challenge-growth","","Identity & Background","400w","choice-single-story"
"7","Boston College","A fourth 'Be'","Other","Values; Contribution","reflect","other","","values & meaning; contribution","Other","400w","choice-fourth-be"
"8","Boston College","Human-Centered Engineering and the Common Good","Why Major","Why Us; Contribution","connect to school","why-major","why-us","contribution","Why Major","400w","hce-common-good"
"9","Bowdoin College","The Offer of the College","Other","Values","reflect","other","","values & meaning","Other","250w","offer-of-the-college"
"10","Bowdoin College","Navigating through differences","Background & Identity","Disagreement","describe","diversity","","disagreement","Identity & Background","250w","navigating-through-differences"
"11","Brown University","Your approach to the Open Curriculum","Why Us","Why Major; Intellectual Curiosity; Values","connect to school","why-us","why-major","intellectual curiosity; values & meaning","Why Us","250w","core-open-curriculum"
"12","Brown University","Growing up and contributing to Brown","Background & Identity","Challenge & Growth; Contribution","reflect","diversity","challenge-growth","contribution","Identity & Background","250w","core-growing-up"
"13","Brown University","Teach a class","Other","Course; Intellectual Curiosity","describe","other","","course; intellectual curiosity","Other","150w","core-teach-a-class"
"14","Brown University","What brings you joy","Short Answer","Values","describe","shorts","","values & meaning","Short Answer","150w","core-joy"
"15","Brown University","PLME: Why medicine?","Why Major","","explain motivation","why-major","","","Why Major","250w","plme-why-medicine"
"16","Brown University","PLME: Why PLME?","Why Us","","connect to school","why-us","","","Why Us","250w","plme-why-plme"
"17","Brown University","PLME: What will make you a great doctor?","Other","Values; Goals & Future","reflect","other","","values & meaning; goals & future","Other","250w","plme-great-doctor"
"18","Brown University","Brown | RISD Dual Degree","Why Us","Why Major; Contribution; Creativity","connect to school","why-us","why-major","contribution; creativity","Why Us","650w","brown-risd-dual-degree"
"19","Stanford University","Genuinely excited about learning","Why Major","Intellectual Curiosity","reflect","why-major","","intellectual curiosity","Why Major","250w","short-essay-learning"
"20","Stanford University","Note to your future roommate","Roommate","","describe","roommate","","","Roommate","250w","short-essay-roommate"
"21","Stanford University","Distinctive contribution","Background & Identity","Contribution","discuss future contribution","diversity","","contribution","Identity & Background","250w","short-essay-contribution"
"22","Stanford University","Significant challenge society faces","Other","Values; Intellectual Curiosity","describe","other","","values & meaning; intellectual curiosity","Other","50w","short-answer-challenge"
"23","Stanford University","Last two summers","Short Answer","","describe","shorts","","","Short Answer","50w","short-answer-summers"
